Allocated 943640576, Freeing 752456803, ratio 0.797398
Allocated 943640576, Freeing 752456445, ratio 0.797397
Allocated 943640576, Freeing 752455563, ratio 0.797396
Allocated 943648768, Freeing 752463755, ratio 0.797398
Allocated 943648768, Freeing 752463186, ratio 0.797398
Allocated 943648768, Freeing 752462279, ratio 0.797397
Allocated 943656960, Freeing 752470471, ratio 0.797398
Allocated 943656960, Freeing 752470446, ratio 0.797398
Allocated 943656960, Freeing 752469128, ratio 0.797397
Allocated 943656960, Freeing 752468118, ratio 0.797396
Allocated 943665152, Freeing 752476310, ratio 0.797398
Allocated 943665152, Freeing 752475514, ratio 0.797397
Allocated 943673344, Freeing 752483706, ratio 0.797398
Allocated 943673344, Freeing 752483295, ratio 0.797398
Allocated 943681536, Freeing 752491487, ratio 0.797400
Allocated 943681536, Freeing 752491121, ratio 0.797399
Allocated 943681536, Freeing 752490566, ratio 0.797399
Allocated 943689728, Freeing 752498758, ratio 0.797401
Allocated 943693824, Freeing 752502126, ratio 0.797401
Allocated 943697920, Freeing 752503140, ratio 0.797398
Allocated 943697920, Freeing 752502746, ratio 0.797398
Allocated 943697920, Freeing 752501841, ratio 0.797397
Allocated 943706112, Freeing 752510033, ratio 0.797399
Allocated 943714304, Freeing 752518225, ratio 0.797400
Allocated 943714304, Freeing 752516610, ratio 0.797399
Allocated 943714304, Freeing 752516012, ratio 0.797398
Allocated 943714304, Freeing 752515777, ratio 0.797398
Allocated 943722496, Freeing 752523969, ratio 0.797400
Allocated 943726592, Freeing 752526589, ratio 0.797399
Allocated 943726592, Freeing 752526064, ratio 0.797398
Allocated 943726592, Freeing 752525514, ratio 0.797398
Allocated 943726592, Freeing 752524883, ratio 0.797397
Allocated 943726592, Freeing 752523950, ratio 0.797396
Allocated 943734784, Freeing 752532142, ratio 0.797398
Allocated 943734784, Freeing 752531962, ratio 0.797398
Allocated 943734784, Freeing 752531577, ratio 0.797397
Allocated 943738880, Freeing 752532425, ratio 0.797395
Allocated 943738880, Freeing 752532364, ratio 0.797395
Allocated 943742976, Freeing 752535501, ratio 0.797395
Allocated 943742976, Freeing 752534625, ratio 0.797394
Allocated 943742976, Freeing 752534416, ratio 0.797393
Allocated 943742976, Freeing 752532249, ratio 0.797391
Allocated 943742976, Freeing 752532128, ratio 0.797391
Allocated 943751168, Freeing 752540320, ratio 0.797393
Allocated 943751168, Freeing 752540156, ratio 0.797393
Allocated 943751168, Freeing 752539902, ratio 0.797392
Allocated 943759360, Freeing 752548094, ratio 0.797394
Allocated 943759360, Freeing 752547758, ratio 0.797394
Allocated 943759360, Freeing 752547509, ratio 0.797393
Allocated 943759360, Freeing 752547331, ratio 0.797393
Allocated 943759360, Freeing 752546837, ratio 0.797393
Allocated 943763456, Freeing 752549214, ratio 0.797392
Allocated 943771648, Freeing 752557406, ratio 0.797394
Allocated 943775744, Freeing 752558872, ratio 0.797392
Allocated 943775744, Freeing 752558398, ratio 0.797391
Allocated 943775744, Freeing 752557845, ratio 0.797391
Allocated 943779840, Freeing 752557996, ratio 0.797387
Allocated 943788032, Freeing 752566188, ratio 0.797389
Allocated 943792128, Freeing 752567807, ratio 0.797387
Allocated 943792128, Freeing 752567662, ratio 0.797387
Allocated 943796224, Freeing 752569334, ratio 0.797385
Allocated 943800320, Freeing 752569651, ratio 0.797382
Allocated 943808512, Freeing 752577843, ratio 0.797384
Allocated 943808512, Freeing 752576817, ratio 0.797383
Allocated 943816704, Freeing 752585009, ratio 0.797385
Allocated 943816704, Freeing 752584005, ratio 0.797384
Allocated 943820800, Freeing 752584655, ratio 0.797381
Allocated 943820800, Freeing 752584196, ratio 0.797380
